Year,Function,Opponent,p_value,Symbol
2017,F21,SCA,0.009023438818080326,+
2017,F21,SSA,0.46470209994046485,=
2017,F21,HHO,0.11718508719813801,=
2017,F21,MPA,0.009023438818080326,+
2017,F21,AOA,0.6015081344405899,=
2017,F22,SBOA,0.009023438818080326,+
2017,F22,WOA,0.009023438818080326,+
2017,F22,GWO,0.009023438818080326,+
2017,F22,SCA,0.009023438818080326,+
2017,F22,SSA,0.6015081344405899,=
2017,F22,HHO,0.009023438818080326,+
2017,F22,MPA,0.009023438818080326,+
2017,F22,AOA,0.009023438818080326,+
2017,F23,SBOA,0.009023438818080326,+
2017,F23,WOA,0.009023438818080326,+
2017,F23,GWO,0.009023438818080326,+
2017,F23,SCA,0.009023438818080326,+
2017,F23,SSA,0.6015081344405899,=
2017,F23,HHO,0.009023438818080326,+
2017,F23,MPA,0.009023438818080326,+
2017,F23,AOA,0.009023438818080326,+
2017,F24,SBOA,0.34720763934942456,=
2017,F24,WOA,0.009023438818080326,+
2017,F24,GWO,0.009023438818080326,+
2017,F24,SCA,0.009023438818080326,+
2017,F24,SSA,0.34720763934942456,=
2017,F24,HHO,0.009023438818080326,+
2017,F24,MPA,0.04720176769014221,+
2017,F24,AOA,0.009023438818080326,+
2017,F25,SBOA,0.46470209994046485,=
2017,F25,WOA,0.009023438818080326,+
2017,F25,GWO,0.009023438818080326,+
2017,F25,SCA,0.009023438818080326,+
2017,F25,SSA,0.9168149485280885,=
2017,F25,HHO,0.009023438818080326,+
2017,F25,MPA,0.028280122568276955,+
2017,F25,AOA,0.009023438818080326,+
2017,F26,SBOA,0.17452534056858338,=
2017,F26,WOA,0.009023438818080326,+
2017,F26,GWO,0.6015081344405899,=
2017,F26,SCA,0.009023438818080326,+
2017,F26,SSA,0.016293603621028527,+
2017,F26,HHO,0.009023438818080326,+
2017,F26,MPA,0.028280122568276955,+
2017,F26,AOA,0.009023438818080326,+
2017,F27,SBOA,0.7540225300620748,=
2017,F27,WOA,0.009023438818080326,+
2017,F27,GWO,0.009023438818080326,+
2017,F27,SCA,0.009023438818080326,+
