Problem,Description,Algorithm,Run,Best
PressureVessel,Pressure Vessel Design,AOA,1,6430.954593500578
PressureVessel,Pressure Vessel Design,AOA,2,5894.802007069608
PressureVessel,Pressure Vessel Design,AOA,3,7108.399936175246
PressureVessel,Pressure Vessel Design,AOA,4,5885.609335521054
PressureVessel,Pressure Vessel Design,AOA,5,6004.769653891933
Truss3Bar,Three-bar Truss Design,ISBOA,1,263.8914914772327
Truss3Bar,Three-bar Truss Design,ISBOA,2,263.8914918633561
Truss3Bar,Three-bar Truss Design,ISBOA,3,263.8914949997889
Truss3Bar,Three-bar Truss Design,ISBOA,4,263.8914916751086
Truss3Bar,Three-bar Truss Design,ISBOA,5,263.89149121266894
Truss3Bar,Three-bar Truss Design,SBOA,1,263.89654199548147
Truss3Bar,Three-bar Truss Design,SBOA,2,263.89405911750515
Truss3Bar,Three-bar Truss Design,SBOA,3,263.8936410587859
Truss3Bar,Three-bar Truss Design,SBOA,4,263.8917224728769
Truss3Bar,Three-bar Truss Design,SBOA,5,263.89167831513856
Truss3Bar,Three-bar Truss Design,GWO,1,263.92785238041216
Truss3Bar,Three-bar Truss Design,GWO,2,263.9128167638546
Truss3Bar,Three-bar Truss Design,GWO,3,263.89927445446517
Truss3Bar,Three-bar Truss Design,GWO,4,263.9087149929091
Truss3Bar,Three-bar Truss Design,GWO,5,266.62549308539684
Truss3Bar,Three-bar Truss Design,WOA,1,264.56824217932547
Truss3Bar,Three-bar Truss Design,WOA,2,277.0281586929559
Truss3Bar,Three-bar Truss Design,WOA,3,265.3177249492579
Truss3Bar,Three-bar Truss Design,WOA,4,263.89697506140647
Truss3Bar,Three-bar Truss Design,WOA,5,278.2967568062028
Truss3Bar,Three-bar Truss Design,SCA,1,264.88538934649387
Truss3Bar,Three-bar Truss Design,SCA,2,263.9961470370497
Truss3Bar,Three-bar Truss Design,SCA,3,264.5894071727515
Truss3Bar,Three-bar Truss Design,SCA,4,264.45759030673753
Truss3Bar,Three-bar Truss Design,SCA,5,264.175457568338
Truss3Bar,Three-bar Truss Design,SSA,1,263.89264009269715
Truss3Bar,Three-bar Truss Design,SSA,2,263.9139507352579
Truss3Bar,Three-bar Truss Design,SSA,3,263.918759237343
Truss3Bar,Three-bar Truss Design,SSA,4,263.9035046382438
Truss3Bar,Three-bar Truss Design,SSA,5,263.89567672921635
