Year,Function,Algorithm,Run,Error
2017,F26,HHO,2,923.2597331767338
2017,F27,SBOA,1,340.2530417583139
2017,F27,SBOA,2,99.896572580255
2017,F27,WOA,1,1129.6220945336772
2017,F27,ISBOA,1,436.03962681376333
2017,F27,GWO,1,524.1403090145109
2017,F27,ISBOA,2,218.24678803387633
2017,F27,WOA,2,1621.6427977999938
2017,F26,MPA,1,552.9276297959987
2017,F26,MPA,2,583.4016804789771
2017,F27,GWO,2,476.2051393084221
2017,F27,SCA,1,1152.1298057279337
2017,F27,SCA,2,1202.3724103649606
2017,F26,AOA,1,660.4901986215345
2017,F26,AOA,2,709.1992892916951
2017,F27,SSA,1,33.89672128063921
2017,F27,SSA,2,450.1132367407613
2017,F27,HHO,2,530.0074835889345
2017,F27,HHO,1,537.6684293983526
2017,F27,MPA,2,344.14541540212986
2017,F27,MPA,1,479.5367718204275
2017,F27,AOA,2,1307.838342190992
2017,F27,AOA,1,1289.8034741637803
2017,F28,SBOA,1,43167.24087831583
2017,F28,SBOA,2,37706.95652396776
2017,F28,ISBOA,1,10464.265841084636
2017,F28,GWO,1,169182580.2951229
2017,F28,WOA,2,10395173933.16999
2017,F28,ISBOA,2,30737.178943643798
2017,F28,WOA,1,33280782272.68358
2017,F28,GWO,2,6437222.662203142
2017,F28,SCA,1,3229551306.22957
2017,F28,SCA,2,6244602809.655444
2017,F28,SSA,2,97242.84190583689
2017,F28,SSA,1,142716.89972509717
2017,F28,HHO,1,1925642.2604356227
2017,F29,SBOA,1,30920.90227422071
2017,F29,ISBOA,1,45141.8401202229
2017,F29,SBOA,2,1603692.6933884502
2017,F29,ISBOA,2,56870.058882344354
2017,F29,GWO,1,183355741.8261455
2017,F28,HHO,2,6218132.23791242
2017,F29,GWO,2,574085985.7738214
2017,F29,WOA,1,23733793427.56456
2017,F29,WOA,2,12419335387.035122
2017,F28,MPA,1,725396.6975866976
2017,F28,MPA,2,71415.89609499593
2017,F3,ISBOA,1,76.01695703976742
2017,F3,SBOA,1,78.42180767919598
2017,F3,SBOA,2,57.53920339102581
2017,F3,ISBOA,2,87.26939532348024
2017,F3,WOA,1,1751.449050944565
2017,F3,GWO,1,320.0943450838706
2017,F3,WOA,2,4652.073611460193
2017,F3,GWO,2,359.19417997992093
2017,F3,SCA,1,2820.935920957716
2017,F3,SCA,2,2168.2470474579513
2017,F3,SSA,1,81.19437124345336
2017,F3,SSA,2,31.89900058918073
2017,F3,HHO,1,310.69570043159626
2017,F3,HHO,2,471.61311964898925
2017,F3,MPA,1,147.28369577957505
2017,F3,MPA,2,178.41727442506692
2017,F28,AOA,1,76284085.70263056
2017,F4,ISBOA,1,941.9554127049996
2017,F28,AOA,2,246794097.53083163
2017,F4,ISBOA,2,975.9882023389582
2017,F4,SBOA,1,140.33174865717058
2017,F3,AOA,1,8791.95911015387
2017,F3,AOA,2,5016.807921842893
2017,F4,SBOA,2,124.57991164444695
2017,F4,WOA,1,37498.52249358984
2017,F4,WOA,2,61191.855503866725
2017,F4,GWO,1,4748.348360017841
2017,F4,GWO,2,329.1951619401905
2017,F4,SCA,1,21377.029190253073
2017,F4,SCA,2,24397.927874993748
2017,F4,SSA,1,228.83865057045455
2017,F4,SSA,2,385.0440803324982
2017,F4,HHO,1,3216.2502005595743
2017,F4,HHO,2,3147.6558431815015
2017,F4,MPA,1,2148.777956741514
2017,F4,MPA,2,1278.1851389430794
2017,F29,SCA,1,9094301196.078075
2017,F29,SCA,2,4080025009.1968427
2017,F29,SSA,1,1057586.0865182304
2017,F29,HHO,1,966839756.9806103
2017,F29,SSA,2,274697.78618761274
2017,F4,AOA,1,30702.845330132033
2017,F4,AOA,2,29630.389900262966
2017,F5,SBOA,1,1.22577746992647e-05
2017,F29,MPA,1,1526628.2619787229
2017,F29,HHO,2,95334198.2725985
2017,F29,MPA,2,1155192.8728123698
2017,F5,ISBOA,1,0.00022723867806462295
2017,F5,SBOA,2,0.00018987213394439095
2017,F5,ISBOA,2,1.8569692201708676e-06
2017,F5,WOA,1,0.01035909995169959
2017,F5,GWO,2,0.001646535519853387
2017,F5,GWO,1,0.00024455595257677487
2017,F5,WOA,2,0.0348487586973647
2017,F5,SSA,1,0.00016319483478355323
2017,F5,SCA,1,0.02869372505949741
2017,F5,SCA,2,0.013677622134594003
2017,F5,SSA,2,0.00010883034229891564
2017,F5,HHO,1,0.01427281518192558
2017,F29,AOA,1,710407581.8306309
2017,F5,HHO,2,0.010105540854226547
2017,F29,AOA,2,1170479233.8804283
2017,F5,MPA,1,0.00839454561941011
2017,F5,MPA,2,0.004264029366026989
2017,F6,SBOA,1,381.4588323075734
2017,F6,SBOA,2,341.97026031213124
2017,F6,ISBOA,1,439.63996170560813
2017,F6,WOA,2,1243204.9875268105
2017,F6,WOA,1,1075615.6713428362
2017,F6,ISBOA,2,975.5627413940665
2017,F6,SCA,1,1041669.8634020822
2017,F6,SCA,2,1068965.0188088159
2017,F6,SSA,2,348.7227149954658
2017,F6,SSA,1,280.4953108429381
2017,F6,GWO,1,260733.5277866841
2017,F6,GWO,2,166212.60875611228
2017,F6,HHO,1,34542.17253821735
2017,F5,AOA,2,0.025130262523987312
2017,F6,HHO,2,42224.03313596027
2017,F5,AOA,1,0.027035622296182282
2017,F6,MPA,1,49974.90256371273
2017,F6,MPA,2,35334.52183372457
2017,F7,SBOA,1,124.00000067255303
2017,F6,AOA,1,844427.3029017415
2017,F6,AOA,2,944897.4199190333
2017,F7,WOA,1,691.6184636211945
2017,F7,WOA,2,687.2853987430487
2017,F7,SCA,1,686.076833647018
2017,F7,SBOA,2,208.00503612363138
2017,F7,SCA,2,665.0781253802968
